Supplier_Name,CFN (REF),Material_Description,Manufacturer Name
Enovis Slovakia s. r. o.,6621.15.312,Multigen Plus Knee - H Tibial Augment 12 mm for Tibial Plate #3 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6621.15.407,Multigen Plus Knee - H Tibial Augment 7 mm for Tibial Plate #4 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6621.15.412,Multigen Plus Knee - H Tibial Augment 12 mm for Tibial Plate #4 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6621.15.507,Multigen Plus Knee - H Tibial Augment 7 mm for Tibial Plate #5 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6621.15.512,Multigen Plus Knee - H Tibial Augment 12 mm for Tibial Plate #5 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6625.15.010,Multigen Plus Knee - Tibial Augment 7 mm for Tibial Plate #1 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6625.15.020,Multigen Plus Knee - Tibial Augment 12 mm for Tibial Plate #1 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6626.15.010,Multigen Plus Knee - Tibial Augment 7 mm for Tibial Plate #2 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6626.15.020,Multigen Plus Knee - Tibial Augment 12 mm for Tibial Plate #2 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6628.15.010,Multigen Plus Knee - Tibial Augment 7 mm for Tibial Plate #3 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6628.15.020,Multigen Plus Knee - Tibial Augment 12 mm for Tibial Plate #3 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6630.15.010,Multigen Plus Knee - Tibial Augment 7 mm for Tibial Plate #4 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6630.15.020,Multigen Plus Knee - Tibial Augment 12 mm for Tibial Plate #4 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6632.15.010,Multigen Plus Knee - Tibial Augment 7 mm for Tibial Plate #5 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6632.15.020,Multigen Plus Knee - Tibial Augment 12 mm for Tibial Plate #5 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6635.50.010,Multigen Plus Knee - CR Fixed Tibial Liner H.10 mm for Tibial Plate #1 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6635.50.020,Multigen Plus Knee - CR Fixed Tibial Liner H.12 mm for Tibial Plate #1 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6635.50.030,Multigen Plus Knee - CR Fixed Tibial Liner H.14 mm for Tibial Plate #1 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6635.50.040,Multigen Plus Knee - CR Fixed Tibial Liner H.17 mm for Tibial Plate #1 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6635.50.050,Multigen Plus Knee - CR Fixed Tibial Liner H.20 mm for Tibial Plate #1 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6637.50.010,Multigen Plus Knee - CR Fixed Tibial Liner H.10 mm for Tibial Plate #2 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6637.50.020,Multigen Plus Knee - CR Fixed Tibial Liner H.12 mm for Tibial Plate #2 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6637.50.030,Multigen Plus Knee - CR Fixed Tibial Liner H.14 mm for Tibial Plate #2 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6637.50.040,Multigen Plus Knee - CR Fixed Tibial Liner H.17 mm for Tibial Plate #2 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6637.50.050,Multigen Plus Knee - CR Fixed Tibial Liner H.20 mm for Tibial Plate #2 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6639.50.010,Multigen Plus Knee - CR Fixed Tibial Liner H.10 mm for Tibial Plate #3 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6639.50.020,Multigen Plus Knee - CR Fixed Tibial Liner H.12 mm for Tibial Plate #3 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6639.50.030,Multigen Plus Knee - CR Fixed Tibial Liner H.14 mm for Tibial Plate #3 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6639.50.040,Multigen Plus Knee - CR Fixed Tibial Liner H.17 mm for Tibial Plate #3 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6639.50.050,Multigen Plus Knee - CR Fixed Tibial Liner H.20 mm for Tibial Plate #3 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6641.50.010,Multigen Plus Knee - CR Fixed Tibial Liner H.10 mm for Tibial Plate #4 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6641.50.020,Multigen Plus Knee - CR Fixed Tibial Liner H.12 mm for Tibial Plate #4 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6641.50.030,Multigen Plus Knee - CR Fixed Tibial Liner H.14 mm for Tibial Plate #4 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6641.50.040,Multigen Plus Knee - CR Fixed Tibial Liner H.17 mm for Tibial Plate #4 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6641.50.050,Multigen Plus Knee - CR Fixed Tibial Liner H.20 mm for Tibial Plate #4 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6643.50.010,Multigen Plus Knee - CR Fixed Tibial Liner H.10 mm for Tibial Plate #5 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6643.50.020,Multigen Plus Knee - CR Fixed Tibial Liner H.12 mm for Tibial Plate #5 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6643.50.030,Multigen Plus Knee - CR Fixed Tibial Liner H.14 mm for Tibial Plate #5 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6643.50.040,Multigen Plus Knee - CR Fixed Tibial Liner H.17 mm for Tibial Plate #5 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6643.50.050,Multigen Plus Knee - CR Fixed Tibial Liner H.20 mm for Tibial Plate #5 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.110,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.10 mm fot Tibial Plate #1 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.112,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.12 mm fot Tibial Plate #1 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.114,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.14 mm fot Tibial Plate #1 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.117,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.17 mm fot Tibial Plate #1 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.120,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.20 mm fot Tibial Plate #1 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.210,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.10 mm fot Tibial Plate #2 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.212,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.12 mm fot Tibial Plate #2 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.214,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.14 mm fot Tibial Plate #2 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.217,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.17 mm fot Tibial Plate #2 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.220,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.20 mm fot Tibial Plate #2 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.310,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.10 mm fot Tibial Plate #3 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.312,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.12 mm fot Tibial Plate #3 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.314,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.14 mm fot Tibial Plate #3 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.317,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.17 mm fot Tibial Plate #3 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.320,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.20 mm fot Tibial Plate #3 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.410,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.10 mm fot Tibial Plate #4 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.412,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.12 mm fot Tibial Plate #4 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.414,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.14 mm fot Tibial Plate #4 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.417,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.17 mm fot Tibial Plate #4 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.420,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.20 mm fot Tibial Plate #4 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.510,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.10 mm fot Tibial Plate #5 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.512,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.12 mm fot Tibial Plate #5 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.514,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.14 mm fot Tibial Plate #5 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.517,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.17 mm fot Tibial Plate #5 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6645.50.520,Multigen Plus Knee - CCK Tibial Liner with Locking Screw H.20 mm fot Tibial Plate #5 - UHMWPE + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6647.15.140,Multigen Plus Knee - CCK/H Stem Dia.14 mm Length 60 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6647.15.160,Multigen Plus Knee - CCK/H Stem Dia.16 mm Length 60 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6647.15.180,Multigen Plus Knee - CCK/H Stem Dia.18 mm Length 85 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6647.15.200,Multigen Plus Knee - CCK/H Stem Dia.20 mm Length 85 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6647.15.220,Multigen Plus Knee - CCK/H Stem Dia.22 mm Length 110 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6647.15.240,Multigen Plus Knee - CCK/H Stem Dia.24 mm Length 110 - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6647.15.310,Multigen Plus Knee - CCK Tibial Module Straight SHORT - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6647.15.320,Multigen Plus Knee - CCK Tibial Module SHORT Offset +3 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6647.15.330,Multigen Plus Knee - CCK Tibial Module SHORT Offset +6 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6647.15.340,Multigen Plus Knee - CCK Tibial Module Straight LONG - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6647.15.350,Multigen Plus Knee - CCK Tibial Module LONG Offset +3 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6647.15.360,Multigen Plus Knee - CCK Tibial Module LONG Offset +6 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6647.15.410,Multigen Plus Knee - CCK/H Femoral Module SHORT R-L - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6647.15.420,Multigen Plus Knee - CCK/H Femoral Module SHORT R +3 mm L -3 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6647.15.430,Multigen Plus Knee - CCK/H Femoral Module SHORT R -3 mm L +3 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6647.15.440,Multigen Plus Knee - CCK/H Femoral Module LONG R-L - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6647.15.450,Multigen Plus Knee - CCK/H Femoral Module LONG R +3 mm L -3 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6647.15.460,Multigen Plus Knee - CCK/H Femoral Module LONG R -3 mm L +3 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6648.15.310,Multigen Plus Knee - H Tibial Module Straight SHORT - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6648.15.320,Multigen Plus Knee - H Tibial Module SHORT Offset +3 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6648.15.330,Multigen Plus Knee - H Tibial Module SHORT Offset +6 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6648.15.340,Multigen Plus Knee - H Tibial Module Straight LONG - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6648.15.350,Multigen Plus Knee - H Tibial Module LONG Offset +3 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6648.15.360,Multigen Plus Knee - H Tibial Module LONG Offset +6 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.110,Multigen Plus Knee - H Tibial Liner + Hinge H.10 mm fot Tibial Plate #1 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.112,Multigen Plus Knee - H Tibial Liner + Hinge H.12 mm fot Tibial Plate #1 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.114,Multigen Plus Knee - H Tibial Liner + Hinge H.14 mm fot Tibial Plate #1 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.117,Multigen Plus Knee - H Tibial Liner + Hinge H.17 mm fot Tibial Plate #1 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.120,Multigen Plus Knee - H Tibial Liner + Hinge H.20 mm fot Tibial Plate #1 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.124,Multigen Plus Knee - H Tibial Liner + Hinge H.24 mm fot Tibial Plate #1 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.210,Multigen Plus Knee - H Tibial Liner + Hinge H.10 mm fot Tibial Plate #2 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.212,Multigen Plus Knee - H Tibial Liner + Hinge H.12 mm fot Tibial Plate #2 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.214,Multigen Plus Knee - H Tibial Liner + Hinge H.14 mm fot Tibial Plate #2 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.217,Multigen Plus Knee - H Tibial Liner + Hinge H.17 mm fot Tibial Plate #2 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.220,Multigen Plus Knee - H Tibial Liner + Hinge H.20 mm fot Tibial Plate #2 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.224,Multigen Plus Knee - H Tibial Liner + Hinge H.24 mm fot Tibial Plate #2 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.310,Multigen Plus Knee - H Tibial Liner + Hinge H.10 mm fot Tibial Plate #3 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.312,Multigen Plus Knee - H Tibial Liner + Hinge H.12 mm fot Tibial Plate #3 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.314,Multigen Plus Knee - H Tibial Liner + Hinge H.14 mm fot Tibial Plate #3 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.317,Multigen Plus Knee - H Tibial Liner + Hinge H.17 mm fot Tibial Plate #3 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.320,Multigen Plus Knee - H Tibial Liner + Hinge H.20 mm fot Tibial Plate #3 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.324,Multigen Plus Knee - H Tibial Liner + Hinge H.24 mm fot Tibial Plate #3 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.410,Multigen Plus Knee - H Tibial Liner + Hinge H.10 mm fot Tibial Plate #4 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.412,Multigen Plus Knee - H Tibial Liner + Hinge H.12 mm fot Tibial Plate #4 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.414,Multigen Plus Knee - H Tibial Liner + Hinge H.14 mm fot Tibial Plate #4 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.417,Multigen Plus Knee - H Tibial Liner + Hinge H.17 mm fot Tibial Plate #4 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.420,Multigen Plus Knee - H Tibial Liner + Hinge H.20 mm fot Tibial Plate #4 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.424,Multigen Plus Knee - H Tibial Liner + Hinge H.24 mm fot Tibial Plate #4 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.510,Multigen Plus Knee - H Tibial Liner + Hinge H.10 mm fot Tibial Plate #5 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.512,Multigen Plus Knee - H Tibial Liner + Hinge H.12 mm fot Tibial Plate #5 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.514,Multigen Plus Knee - H Tibial Liner + Hinge H.14 mm fot Tibial Plate #5 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.517,Multigen Plus Knee - H Tibial Liner + Hinge H.17 mm fot Tibial Plate #5 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.520,Multigen Plus Knee - H Tibial Liner + Hinge H.20 mm fot Tibial Plate #5 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6660.50.524,Multigen Plus Knee - H Tibial Liner + Hinge H.24 mm fot Tibial Plate #5 - UHMWPE + CoCrMo + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.010,Multigen Plus Knee - PS Fixed Tibial Liner H.10 mm for Tibial Plate #0 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.012,Multigen Plus Knee - PS Fixed Tibial Liner H.12 mm for Tibial Plate #0 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.014,Multigen Plus Knee - PS Fixed Tibial Liner H.14 mm for Tibial Plate #0 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.017,Multigen Plus Knee - PS Fixed Tibial Liner H.17 mm for Tibial Plate #0 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.020,Multigen Plus Knee - PS Fixed Tibial Liner H.20 mm for Tibial Plate #0 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.110,Multigen Plus Knee - PS Fixed Tibial Liner H.10 mm for Tibial Plate #1 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.112,Multigen Plus Knee - PS Fixed Tibial Liner H.12 mm for Tibial Plate #1 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.114,Multigen Plus Knee - PS Fixed Tibial Liner H.14 mm for Tibial Plate #1 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.117,Multigen Plus Knee - PS Fixed Tibial Liner H.17 mm for Tibial Plate #1 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.120,Multigen Plus Knee - PS Fixed Tibial Liner H.20 mm for Tibial Plate #1 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.210,Multigen Plus Knee - PS Fixed Tibial Liner H.10 mm for Tibial Plate #2 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.212,Multigen Plus Knee - PS Fixed Tibial Liner H.12 mm for Tibial Plate #2 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.214,Multigen Plus Knee - PS Fixed Tibial Liner H.14 mm for Tibial Plate #2 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.217,Multigen Plus Knee - PS Fixed Tibial Liner H.17 mm for Tibial Plate #2 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.220,Multigen Plus Knee - PS Fixed Tibial Liner H.20 mm for Tibial Plate #2 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.310,Multigen Plus Knee - PS Fixed Tibial Liner H.10 mm for Tibial Plate #3 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.312,Multigen Plus Knee - PS Fixed Tibial Liner H.12 mm for Tibial Plate #3 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.314,Multigen Plus Knee - PS Fixed Tibial Liner H.14 mm for Tibial Plate #3 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.317,Multigen Plus Knee - PS Fixed Tibial Liner H.17 mm for Tibial Plate #3 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.320,Multigen Plus Knee - PS Fixed Tibial Liner H.20 mm for Tibial Plate #3 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.410,Multigen Plus Knee - PS Fixed Tibial Liner H.10 mm for Tibial Plate #4 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.412,Multigen Plus Knee - PS Fixed Tibial Liner H.12 mm for Tibial Plate #4 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.414,Multigen Plus Knee - PS Fixed Tibial Liner H.14 mm for Tibial Plate #4 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.417,Multigen Plus Knee - PS Fixed Tibial Liner H.17 mm for Tibial Plate #4 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.420,Multigen Plus Knee - PS Fixed Tibial Liner H.20 mm for Tibial Plate #4 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.510,Multigen Plus Knee - PS Fixed Tibial Liner H.10 mm for Tibial Plate #5 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.512,Multigen Plus Knee - PS Fixed Tibial Liner H.12 mm for Tibial Plate #5 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.514,Multigen Plus Knee - PS Fixed Tibial Liner H.14 mm for Tibial Plate #5 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.517,Multigen Plus Knee - PS Fixed Tibial Liner H.17 mm for Tibial Plate #5 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6661.50.520,Multigen Plus Knee - PS Fixed Tibial Liner H.20 mm for Tibial Plate #5 - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6665.15.020,Multigen Plus Knee - Tibial Stem H.60 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6665.15.040,Multigen Plus Knee - Tibial Stem H.90 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6671.15.105,Multigen Plus Knee - Distal Femoral Augment #1 5 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6671.15.205,Multigen Plus Knee - Distal Femoral Augment #2 5 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6671.15.210,Multigen Plus Knee - Distal Femoral Augment #2 10 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6671.15.305,Multigen Plus Knee - Distal Femoral Augment #3 5 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6671.15.310,Multigen Plus Knee - Distal Femoral Augment #3 10 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6671.15.405,Multigen Plus Knee - Distal Femoral Augment #4 5 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,6671.15.410,Multigen Plus Knee - Distal Femoral Augment #4 10 mm - Ti6Al4V,Limacorporate S.p.A.
